region_rank	region_id	chrom	region_start	region_end	n_snps	mean_window_fst	max_window_fst	gene_id	gene_name	distance_to_region_bp	description	theme	note
1	1:11100000-11300000	1	11100000	11300000	208	0.351228	0.443065	Vitvi01g00934	Vitvi01g00934	0	XP_034697533.1AP2-like ethylene-responsive transcription factor At1g16060 isoform X2	hormone signalling	annotation points to hormone signalling; overlaps the high-FST region
1	1:11100000-11300000	1	11100000	11300000	208	0.351228	0.443065	Vitvi01g00940	Vitvi01g00940	0	XP_010652374.1 probable WRKY transcription factor 72 isoform X1	development	annotation points to development; overlaps the high-FST region
2	17:8800000-8850000	17	8800000	8850000	23	0.402433	0.402433	Vitvi17g00700	Vitvi17g00700	0	ALP48438.1flavonoid 3'-hydroxylase		overlaps the high-FST region
2	17:8800000-8850000	17	8800000	8850000	23	0.402433	0.402433	Vitvi17g00701	Vitvi17g00701	0	XP_002284129.1 DExH-box ATP-dependent RNA helicase DExH14 isoform X1		overlaps the high-FST region
3	13:27700000-27800000	13	27700000	27800000	66	0.324076	0.371547	Vitvi13g01823	Vitvi13g01823	0	XP_002268178.1 homeobox-leucine zipper protein HOX11	development	annotation points to development; overlaps the high-FST region
3	13:27700000-27800000	13	27700000	27800000	66	0.324076	0.371547	Vitvi13g02568	Vitvi13g02568	0	XP_002268398.1 myb family transcription factor PHL5	berry metabolism	annotation points to berry metabolism; overlaps the high-FST region
4	6:20450000-20550000	6	20450000	20550000	143	0.311914	0.351901	Vitvi06g01498	Vitvi06g01498	0	XP_002275292.1 protein transport protein Sec24-like At3g07100		overlaps the high-FST region
4	6:20450000-20550000	6	20450000	20550000	143	0.311914	0.351901	Vitvi06g01499	Vitvi06g01499	0	XP_010651880.1 asparagine--tRNA ligase, cytoplasmic 1		overlaps the high-FST region
5	6:15500000-15550000	6	15500000	15550000	52	0.346421	0.346421	Vitvi06g01167	Vitvi06g01167	0	XP_002265253.2 pentatricopeptide repeat-containing protein At3g24000, mitochondrial		overlaps the high-FST region
5	6:15500000-15550000	6	15500000	15550000	52	0.346421	0.346421	Vitvi06g01168	Vitvi06g01168	0	XP_010651534.1 splicing factor 3B subunit 6-like protein		overlaps the high-FST region
