region_id	chrom	region_start	region_end	n_snps	mean_window_fst	max_window_fst	gene_id	gene_start	gene_end	strand	distance_to_region_bp	gene_name	description	go_terms
13:6100000-6150000	13	6100000	6150000	28	0.413369	0.413369	Vitvi13g00635	6102510	6103199	+	0	Vitvi13g00635	XP_002273620.1 probable acetyltransferase NATA1-like	1
13:6100000-6150000	13	6100000	6150000	28	0.413369	0.413369	Vitvi13g00636	6112819	6116314	+	0	Vitvi13g00636	XP_002271854.1PREDICTED: uncharacterized protein C24H6.02c	6
13:6100000-6150000	13	6100000	6150000	28	0.413369	0.413369	Vitvi13g00637	6118981	6125425	+	0	Vitvi13g00637	XP_002271753.1 ATPase ASNA1 homolog	3
13:6100000-6150000	13	6100000	6150000	28	0.413369	0.413369	Vitvi13g00638	6126690	6140410	-	0	Vitvi13g00638	XP_002271552.1 ABC transporter G family member 28	4
13:6100000-6150000	13	6100000	6150000	28	0.413369	0.413369	Vitvi13g00639	6145441	6151862	+	0	Vitvi13g00639	RVW74145.1putative serine/threonine-protein kinase PBL19	3
13:6100000-6150000	13	6100000	6150000	28	0.413369	0.413369	Vitvi13g04180	6156383	6158430	+	6383	Vitvi13g04180	---NA---	
13:6100000-6150000	13	6100000	6150000	28	0.413369	0.413369	Vitvi13g00640	6158496	6182902	+	8496	Vitvi13g00640	XP_010658383.1 OTU domain-containing protein DDB_G0284757 isoform X1	
6:6500000-6550000	6	6500000	6550000	29	0.408736	0.408736	Vitvi06g00565	6497312	6506271	+	0	Vitvi06g00565	XP_010650958.1 probable serine/threonine-protein kinase At5g41260	6
6:6500000-6550000	6	6500000	6550000	29	0.408736	0.408736	Vitvi06g04192	6506947	6516601	-	0	Vitvi06g04192	XP_010650957.1 mitochondrial import inner membrane translocase subunit TIM10	2
6:6500000-6550000	6	6500000	6550000	29	0.408736	0.408736	Vitvi06g01732	6516835	6518574	+	0	Vitvi06g01732	XP_034687131.1DNA-directed RNA polymerases I and III subunit RPAC2	6
6:6500000-6550000	6	6500000	6550000	29	0.408736	0.408736	Vitvi06g00567	6519686	6523055	-	0	Vitvi06g00567	XP_002281343.1 E3 ubiquitin-protein ligase MARCH7	2
6:6500000-6550000	6	6500000	6550000	29	0.408736	0.408736	Vitvi06g01734	6524024	6524748	-	0	Vitvi06g01734	XP_002279995.1PREDICTED: uncharacterized protein LOC100267406	
6:6500000-6550000	6	6500000	6550000	29	0.408736	0.408736	Vitvi06g00568	6525250	6531935	-	0	Vitvi06g00568	XP_002281319.1PREDICTED: uncharacterized protein LOC100255366	2
6:6500000-6550000	6	6500000	6550000	29	0.408736	0.408736	Vitvi06g00569	6533880	6535654	-	0	Vitvi06g00569	XP_002281289.1 tubulin beta-2 chain	7
6:6500000-6550000	6	6500000	6550000	29	0.408736	0.408736	Vitvi06g04193	6543882	6552066	-	0	Vitvi06g04193	---NA---	
6:6500000-6550000	6	6500000	6550000	29	0.408736	0.408736	Vitvi06g00570	6552089	6557771	-	2089	Vitvi06g00570	XP_002279976.3 chromatin modification-related protein eaf-1	
6:6500000-6550000	6	6500000	6550000	29	0.408736	0.408736	Vitvi06g04191	6494107	6495037	+	4963	Vitvi06g04191	RVW56615.1Phosphatidylinositol:ceramide inositolphosphotransferase	3
6:6500000-6550000	6	6500000	6550000	29	0.408736	0.408736	Vitvi06g00564	6488966	6494034	+	5966	Vitvi06g00564	XP_002280051.1 phosphatidylinositol:ceramide inositolphosphotransferase	8
11:10500000-10600000	11	10500000	10600000	109	0.340451	0.393767	Vitvi11g00823	10500959	10514292	+	0	Vitvi11g00823	XP_002272377.2 HD domain-containing protein 2	1
11:10500000-10600000	11	10500000	10600000	109	0.340451	0.393767	Vitvi11g01523	10550300	10550755	+	0	Vitvi11g01523	XP_010656661.1PREDICTED: uncharacterized protein LOC104880721	1
11:10500000-10600000	11	10500000	10600000	109	0.340451	0.393767	Vitvi11g00824	10566274	10579957	+	0	Vitvi11g00824	XP_002271446.1 GPI mannosyltransferase 3 isoform X1	6
11:10500000-10600000	11	10500000	10600000	109	0.340451	0.393767	Vitvi11g01525	10584511	10584726	+	0	Vitvi11g01525	XP_010656649.1PREDICTED: uncharacterized protein LOC104880716	1
11:10500000-10600000	11	10500000	10600000	109	0.340451	0.393767	Vitvi11g00825	10585934	10588359	-	0	Vitvi11g00825	XP_010656650.1 VAN3-binding protein	
11:10500000-10600000	11	10500000	10600000	109	0.340451	0.393767	Vitvi11g00826	10604763	10617053	+	4763	Vitvi11g00826	XP_002271982.1 cytochrome c oxidase subunit 6b-2	2
18:21250000-21300000	18	21250000	21300000	33	0.370126	0.370126	Vitvi18g01533	21259028	21260239	+	0	Vitvi18g01533	XP_002264197.1 transcription factor DIVARICATA	2
18:21250000-21300000	18	21250000	21300000	33	0.370126	0.370126	Vitvi18g04404	21283315	21283838	-	0	Vitvi18g04404	CAN69701.1hypothetical protein VITISV_020317	
18:21250000-21300000	18	21250000	21300000	33	0.370126	0.370126	Vitvi18g01535	21287004	21301502	+	0	Vitvi18g01535	XP_002264356.1 ras-related protein Rab7	3
18:21250000-21300000	18	21250000	21300000	33	0.370126	0.370126	Vitvi18g02921	21301665	21305148	-	1665	Vitvi18g02921	XP_019073403.1 laccase-14-like	4
11:10850000-10900000	11	10850000	10900000	28	0.363378	0.363378	Vitvi11g04213	10863767	10889304	+	0	Vitvi11g04213	XP_019078583.1PREDICTED: uncharacterized protein LOC100267284	
11:10850000-10900000	11	10850000	10900000	28	0.363378	0.363378	Vitvi11g04214	10893701	10893982	+	0	Vitvi11g04214	RVW84738.1hypothetical protein CK203_046707	1
11:10850000-10900000	11	10850000	10900000	28	0.363378	0.363378	Vitvi11g00835	10839423	10845795	+	4205	Vitvi11g00835	XP_002270946.1 protein ECERIFERUM 3	10
6:20450000-20500000	6	20450000	20500000	54	0.360444	0.360444	Vitvi06g01498	20461032	20477789	-	0	Vitvi06g01498	XP_002275292.1 protein transport protein Sec24-like At3g07100	6
6:20450000-20500000	6	20450000	20500000	54	0.360444	0.360444	Vitvi06g01499	20487203	20487931	-	0	Vitvi06g01499	XP_010651880.1 asparagine--tRNA ligase, cytoplasmic 1	5
6:20450000-20500000	6	20450000	20500000	54	0.360444	0.360444	Vitvi06g04442	20487952	20489058	-	0	Vitvi06g04442	RVW33492.1Asparagine--tRNA ligase, cytoplasmic 1	3
6:20450000-20500000	6	20450000	20500000	54	0.360444	0.360444	Vitvi06g04443	20489150	20489368	-	0	Vitvi06g04443	CAN62126.1hypothetical protein VITISV_037579	5
6:20450000-20500000	6	20450000	20500000	54	0.360444	0.360444	Vitvi06g01962	20492250	20499693	+	0	Vitvi06g01962	XP_002275041.1PREDICTED: uncharacterized protein At2g27730, mitochondrial	1
6:20450000-20500000	6	20450000	20500000	54	0.360444	0.360444	Vitvi06g01501	20500062	20506731	-	62	Vitvi06g01501	XP_002275011.1 eukaryotic initiation factor 4A-3	5
1:12400000-12450000	1	12400000	12450000	73	0.350829	0.350829	Vitvi01g01018	12394170	12409893	-	0	Vitvi01g01018	XP_002273709.1 probable apyrase 6 isoform X2	1
1:12400000-12450000	1	12400000	12450000	73	0.350829	0.350829	Vitvi01g01019	12428920	12430964	+	0	Vitvi01g01019	XP_002269735.3 vacuolar amino acid transporter 1	4
1:12400000-12450000	1	12400000	12450000	73	0.350829	0.350829	Vitvi01g01020	12431946	12434513	+	0	Vitvi01g01020	XP_002269694.1 pentatricopeptide repeat-containing protein At2g02980, chloroplastic	4
1:12400000-12450000	1	12400000	12450000	73	0.350829	0.350829	Vitvi01g01021	12440718	12442250	+	0	Vitvi01g01021	XP_002275271.1 extracellular ribonuclease LE	6
1:12400000-12450000	1	12400000	12450000	73	0.350829	0.350829	Vitvi01g04248	12447700	12451266	+	0	Vitvi01g04248	---NA---	
1:12400000-12450000	1	12400000	12450000	73	0.350829	0.350829	Vitvi01g01022	12451670	12459822	+	1670	Vitvi01g01022	XP_002269607.1 beta-1,3-galactosyltransferase GALT1	6
18:6750000-6800000	18	6750000	6800000	45	0.342505	0.342505	Vitvi18g00594	6750183	6758145	-	0	Vitvi18g00594	XP_002283591.1 KH domain-containing protein HEN4 isoform X1	4
18:6750000-6800000	18	6750000	6800000	45	0.342505	0.342505	Vitvi18g00595	6765522	6772513	+	0	Vitvi18g00595	XP_010664461.1 probable inactive poly [ADP-ribose] polymerase SRO1 isoform X2	1
18:6750000-6800000	18	6750000	6800000	45	0.342505	0.342505	Vitvi18g00596	6774178	6775470	-	0	Vitvi18g00596	CBI19335.3unnamed protein product, partial	1
18:6750000-6800000	18	6750000	6800000	45	0.342505	0.342505	Vitvi18g00597	6781855	6790195	+	0	Vitvi18g00597	XP_002285550.1 inositol-tetrakisphosphate 1-kinase 3 isoform X1	10
18:6750000-6800000	18	6750000	6800000	45	0.342505	0.342505	Vitvi18g00598	6798247	6800945	+	0	Vitvi18g00598	XP_002285542.1PREDICTED: uncharacterized protein LOC100245533	
18:6750000-6800000	18	6750000	6800000	45	0.342505	0.342505	Vitvi18g00593	6743003	6749958	+	42	Vitvi18g00593	XP_002285557.1 amino acid permease 6	3
18:6750000-6800000	18	6750000	6800000	45	0.342505	0.342505	Vitvi18g04133	6801585	6802679	+	1585	Vitvi18g04133	RVW56340.1Ergosterol biosynthetic protein 28	3
18:6750000-6800000	18	6750000	6800000	45	0.342505	0.342505	Vitvi18g00599	6802948	6806909	+	2948	Vitvi18g00599	XP_002285532.1 ergosterol biosynthetic protein 28	4
18:6750000-6800000	18	6750000	6800000	45	0.342505	0.342505	Vitvi18g02621	6808023	6808475	-	8023	Vitvi18g02621	CAN62370.1hypothetical protein VITISV_001849	1
11:9950000-10000000	11	9950000	10000000	27	0.341689	0.341689	Vitvi11g00798	9949578	9952559	+	0	Vitvi11g00798	XP_010656633.1 AP2-like ethylene-responsive transcription factor At1g16060	4
11:9950000-10000000	11	9950000	10000000	27	0.341689	0.341689	Vitvi11g00800	9992269	10015057	+	0	Vitvi11g00800	XP_002272781.1 histone-lysine N-methyltransferase ASHR3 isoform X1	7
