region_id	chrom	region_start	region_end	n_snps	mean_window_fst	max_window_fst	gene_id	gene_start	gene_end	strand	distance_to_region_bp	gene_name	description	go_terms
13:6050000-6150000	13	6050000	6150000	58	0.310080	0.360995	Vitvi13g04179	6041019	6063647	+	0	Vitvi13g04179	XP_010658392.1 probable lysine-specific demethylase ELF6 isoform X2	
13:6050000-6150000	13	6050000	6150000	58	0.310080	0.360995	Vitvi13g00631	6064935	6066161	+	0	Vitvi13g00631	XP_002272073.1 probable acetyltransferase NATA1-like	1
13:6050000-6150000	13	6050000	6150000	58	0.310080	0.360995	Vitvi13g00632	6082285	6084201	+	0	Vitvi13g00632	XP_002271947.2 lysM domain receptor-like kinase 3	3
13:6050000-6150000	13	6050000	6150000	58	0.310080	0.360995	Vitvi13g00635	6102510	6103199	+	0	Vitvi13g00635	XP_002273620.1 probable acetyltransferase NATA1-like	1
13:6050000-6150000	13	6050000	6150000	58	0.310080	0.360995	Vitvi13g00636	6112819	6116314	+	0	Vitvi13g00636	XP_002271854.1PREDICTED: uncharacterized protein C24H6.02c	6
13:6050000-6150000	13	6050000	6150000	58	0.310080	0.360995	Vitvi13g00637	6118981	6125425	+	0	Vitvi13g00637	XP_002271753.1 ATPase ASNA1 homolog	3
13:6050000-6150000	13	6050000	6150000	58	0.310080	0.360995	Vitvi13g00638	6126690	6140410	-	0	Vitvi13g00638	XP_002271552.1 ABC transporter G family member 28	4
13:6050000-6150000	13	6050000	6150000	58	0.310080	0.360995	Vitvi13g00639	6145441	6151862	+	0	Vitvi13g00639	RVW74145.1putative serine/threonine-protein kinase PBL19	3
13:6050000-6150000	13	6050000	6150000	58	0.310080	0.360995	Vitvi13g04180	6156383	6158430	+	6383	Vitvi13g04180	---NA---	
13:6050000-6150000	13	6050000	6150000	58	0.310080	0.360995	Vitvi13g00640	6158496	6182902	+	8496	Vitvi13g00640	XP_010658383.1 OTU domain-containing protein DDB_G0284757 isoform X1	
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00929	11113884	11120950	+	0	Vitvi01g00929	XP_002276517.1 hypersensitive-induced response protein 2	4
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00930	11122236	11126146	-	0	Vitvi01g00930	XP_002276636.1 mitochondrial outer membrane protein porin of 36 kDa	4
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00932	11136269	11149211	+	0	Vitvi01g00932	XP_002270049.1 alpha-amylase 3, chloroplastic	5
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g02109	11150278	11151978	+	0	Vitvi01g02109	XP_002270089.1 pectate lyase	3
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00933	11153388	11155046	+	0	Vitvi01g00933	XP_002270112.1 pectate lyase	3
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00934	11167273	11169033	-	0	Vitvi01g00934	XP_034697533.1AP2-like ethylene-responsive transcription factor At1g16060 isoform X2	4
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00935	11170569	11187423	-	0	Vitvi01g00935	XP_002277155.2PREDICTED: uncharacterized protein LOC100246806	
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00936	11198626	11209531	+	0	Vitvi01g00936	YP_009019844.1NADH dehydrogenase subunit 6	5
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00937	11215486	11222457	-	0	Vitvi01g00937	XP_002270296.1PREDICTED: uncharacterized protein LOC100258796	6
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00938	11236289	11242335	+	0	Vitvi01g00938	XP_002277278.1 single-stranded DNA-binding protein WHY1, chloroplastic	3
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00940	11284337	11289463	+	0	Vitvi01g00940	XP_010652374.1 probable WRKY transcription factor 72 isoform X1	4
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00941	11292036	11294258	+	0	Vitvi01g00941	XP_002277342.1 SNF1-related protein kinase regulatory subunit gamma-1-like isoform X2	
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00942	11294393	11296246	-	0	Vitvi01g00942	XP_002270695.1 pentatricopeptide repeat-containing protein At2g02750	4
1:11100000-11300000	1	11100000	11300000	224	0.282278	0.323543	Vitvi01g00928	11088814	11094122	-	5878	Vitvi01g00928	XP_002276462.1PREDICTED: uncharacterized protein LOC100258620 isoform X1	
