gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_type,gene_name
ENSG00000134954.14,4106.990172831545,-7.825069154839271,0.657669004347654,-11.898187542837002,1.2094539085269175e-32,1.6833179498877638e-28,protein_coding,ETS1
ENSG00000213626.13,3355.6948838361477,-9.018905099370345,0.7727267155399639,-11.671532662188518,1.7818384759853482e-31,1.6533085272509382e-27,protein_coding,LBH
ENSG00000172985.11,566.5695767311076,-7.308616326592106,0.6366249234833596,-11.480254788961528,1.657912339062115e-30,9.229929574026606e-27,protein_coding,SH3RF3
ENSG00000110427.17,1040.2886860042934,-6.793745703360264,0.6013366384724367,-11.297741179746303,1.3463656952310443e-29,6.246239248741891e-26,protein_coding,KIAA1549L
ENSG00000136231.14,998.1675518256554,-6.536602145373856,0.5895077333524212,-11.088238161357802,1.4307792450150697e-28,4.978396383029935e-25,protein_coding,IGF2BP3
ENSG00000122870.12,1655.8610796548462,-7.994513393051961,0.7529227627770688,-10.617972769962646,2.4584198550806667e-26,5.2640442373865714e-23,protein_coding,BICC1
ENSG00000138685.17,5405.155909968085,-8.123800302620293,0.7831188047553735,-10.373649889760932,3.267989707774151e-25,6.49769725040009e-22,protein_coding,FGF2
ENSG00000026025.16,23896.56703263752,-7.694368670245634,0.7491633414625274,-10.270615557916353,9.559275069908334e-25,1.6630748802873025e-21,protein_coding,VIM
ENSG00000104332.12,3995.76879449488,-8.419837987158557,0.8196896812699197,-10.271982409384444,9.424775285293709e-25,1.6630748802873025e-21,protein_coding,SFRP1
ENSG00000148848.15,6812.280528120625,-7.927099151837328,0.7776744827856167,-10.193338379115378,2.1234451261038398e-24,3.11095887001192e-21,protein_coding,ADAM12
ENSG00000206538.9,2493.5169081760137,-6.776615994192515,0.66781540265624,-10.147438898891044,3.401733376999178e-24,4.734532514107456e-21,protein_coding,VGLL3
ENSG00000112769.20,6391.429193809035,-7.298334550389677,0.7204642688067217,-10.130043732047445,4.06467611500959e-24,5.151497458794912e-21,protein_coding,LAMA4
ENSG00000176597.12,620.9355748290145,-6.358350160197381,0.6276826202732427,-10.12988085830617,4.071452223505104e-24,5.151497458794912e-21,protein_coding,B3GNT5
ENSG00000187498.16,24714.02441312848,-7.677425299952289,0.775655042827862,-9.897989281371963,4.2472821600654184e-23,4.926139425315874e-20,protein_coding,COL4A1
ENSG00000111817.19,2161.5122534729617,-4.658341944314415,0.47272389508334356,-9.854255291015333,6.570193714617626e-23,7.31551648960385e-20,protein_coding,DSE
ENSG00000144810.16,5690.585709936914,-8.153041073795553,0.8324559125288482,-9.793961399142582,1.1951936876183009e-22,1.188193267447965e-19,protein_coding,COL8A1
ENSG00000134871.19,22680.132521426873,-6.8511227993740125,0.6993624802477044,-9.796240137085194,1.1685454381553937e-22,1.188193267447965e-19,protein_coding,COL4A2
ENSG00000137273.6,178.39409900667755,-8.767429860233023,0.899275091544343,-9.749441458649256,1.8548596833051722e-22,1.7804094532580265e-19,protein_coding,FOXF2
ENSG00000134013.16,34366.62468207155,-7.044836665856362,0.7245922810858169,-9.722483732920153,2.41809921652013e-22,2.1034440559704478e-19,protein_coding,LOXL2
ENSG00000162614.19,1584.1261096390663,-5.923545400707116,0.6174950432135512,-9.592863077701741,8.567397023974776e-22,7.2267291987685415e-19,protein_coding,NEXN
ENSG00000144642.22,745.5568053730922,-7.032944134849009,0.7339567014421612,-9.582233013241632,9.496905781185274e-22,7.775172627208038e-19,protein_coding,RBMS3
ENSG00000120708.17,111378.14757982639,-6.787140248333396,0.7153802894805625,-9.487457717435207,2.367373627989493e-21,1.8305058974643204e-18,protein_coding,TGFBI
ENSG00000129009.13,3104.2304893682613,-10.11083928623518,1.0728303684430311,-9.424452908532745,4.323535617003317e-21,3.1671036167080086e-18,protein_coding,ISLR
ENSG00000010810.17,1734.817210965667,-4.317153395454377,0.4617284061968422,-9.34998440103316,8.766065343218947e-21,6.100304872346065e-18,protein_coding,FYN
ENSG00000149948.14,1218.4410584541838,-6.096118960959172,0.6549360250997428,-9.307960972265604,1.3030986113891587e-20,8.71505838072571e-18,protein_coding,HMGA2
ENSG00000198756.12,185.05371318250803,-3.835681701784311,0.4169430811897635,-9.199533161310754,3.5950822855888674e-20,2.274379784128448e-17,protein_coding,COLGALT2
ENSG00000118257.17,2764.0064050189185,-6.218283874115521,0.6818247368239656,-9.12006200168265,7.508136337021697e-20,4.644366290607466e-17,protein_coding,NRP2
ENSG00000122420.10,437.20228437866484,-9.510813048971952,1.0443547440170784,-9.106879729763952,8.478530006988061e-20,5.021454495202547e-17,protein_coding,PTGFR
ENSG00000143452.16,461.42076359733,-9.467033880992435,1.0395337985207092,-9.106999593918289,8.469170998730857e-20,5.021454495202547e-17,protein_coding,HORMAD1
ENSG00000185070.12,1558.408559079798,-8.614210403398813,0.9476541305280651,-9.090036254681529,9.900603759721656e-20,5.74152513032525e-17,protein_coding,FLRT2
ENSG00000167601.12,11876.521595652925,-7.52016752041679,0.8280624463129389,-9.081643001565116,1.0694805240287107e-19,6.075522421808814e-17,protein_coding,AXL
ENSG00000116962.15,2887.0893019481873,-7.547951078716068,0.8343324975272896,-9.046694334795689,1.4736182028475053e-19,7.967517762644433e-17,protein_coding,NID1
ENSG00000169554.23,1343.5342299015767,-7.4006757568370665,0.8178572037110614,-9.04886051410465,1.4446798445644407e-19,7.967517762644433e-17,protein_coding,ZEB2
ENSG00000136244.12,1102.9833081064555,-7.22798982343125,0.7995886763828187,-9.039635048521758,1.5719574561476744e-19,8.256039197986162e-17,protein_coding,IL6
ENSG00000148516.23,2030.8489641080232,-6.348936582016477,0.7048162045550509,-9.007932197053485,2.0997811734056297e-19,1.0823983100540577e-16,protein_coding,ZEB1
ENSG00000134874.18,1529.217812745463,-6.502891859929263,0.7222533298717886,-9.003616308814568,2.184024199442828e-19,1.1053545021034648e-16,protein_coding,DZIP1
ENSG00000166825.15,8994.092862160103,-8.675741011307071,0.9680617178372882,-8.961970968844044,3.189258318795274e-19,1.5852891886068794e-16,protein_coding,ANPEP
ENSG00000134762.17,1351.0807588734847,-8.923066712483749,0.9967334257153442,-8.952310098439575,3.4811941398845947e-19,1.700044211891712e-16,protein_coding,DSC3
ENSG00000173068.19,826.6970863775231,-8.109358211396627,0.9144260470022937,-8.868249365797304,7.43047861890534e-19,3.566117290273259e-16,protein_coding,BNC2
ENSG00000175592.9,3639.670647273971,-6.639815320833172,0.7507534654455308,-8.844202026950095,9.21846964245849e-19,4.34924272826228e-16,protein_coding,FOSL1
ENSG00000019549.13,1702.8792827575335,-6.927977679110007,0.7867947092502999,-8.805318080635487,1.3048200944715654e-18,5.954257729460737e-16,protein_coding,SNAI2
ENSG00000116157.6,281.1087047545711,-8.227394794439233,0.9348806921151147,-8.800475679763176,1.3623744007133845e-18,6.116621583589963e-16,protein_coding,GPX7
ENSG00000183454.18,185.97282525979338,-9.425312744167817,1.072921400396254,-8.784718750774136,1.5675624604649593e-18,6.92613788087343e-16,protein_coding,GRIN2A
ENSG00000081059.20,804.8521277707133,-3.9439309456208727,0.45312997185667425,-8.703752103311198,3.210879956290867e-18,1.396532100989259e-15,protein_coding,TCF7
ENSG00000183287.15,1718.1973392384434,-9.698365675220575,1.1188789316104208,-8.667931266934804,4.400422163227433e-18,1.8559113838727094e-15,protein_coding,CCBE1
ENSG00000101307.16,149.10905731728533,-8.73507746460262,1.0163725124705536,-8.594366098478773,8.372569554607046e-18,3.478490240627488e-15,protein_coding,SIRPB1
ENSG00000112246.10,460.05085974498854,-8.466944986813479,0.9876669467259683,-8.572672209878723,1.0111099336397058e-17,4.1390082518815955e-15,protein_coding,SIM1
ENSG00000124785.9,834.39051392554,-8.527308155923192,0.9986199072100572,-8.539092896462252,1.3527958921115986e-17,5.4574531091041236e-15,protein_coding,NRN1
ENSG00000132205.11,3081.693653542395,-8.344471054357832,0.9802772541638558,-8.512358130226525,1.7043122516159073e-17,6.589060532775055e-15,protein_coding,EMILIN2
ENSG00000128591.16,13806.470633341654,-6.954471520409927,0.816928259201188,-8.51295256600644,1.6955944844153196e-17,6.589060532775055e-15,protein_coding,FLNC
ENSG00000178860.9,627.2657080431367,-9.449635734179873,1.1114672569461288,-8.50194702104291,1.8643690105502514e-17,7.109119969544767e-15,protein_coding,MSC
ENSG00000163710.9,722.1168416588885,-7.130712749764367,0.8394764943669004,-8.494237536861666,1.9923647124231733e-17,7.394595218001527e-15,protein_coding,PCOLCE2
ENSG00000138944.8,1121.3816580488804,-8.795259474396971,1.0370249134188059,-8.481242215677586,2.2280224166458017e-17,8.054445712954875e-15,protein_coding,SHISAL1
