region_id	chrom	region_start	region_end	n_snps	mean_window_fst	max_window_fst	gene_id	gene_start	gene_end	strand	distance_to_region_bp	gene_name	description	go_terms
3:9050000-9150000	3	9050000	9150000	73	0.286462	0.325354	Vitvi03g04248	9155786	9156409	-	5786	Vitvi03g04248	RVW69149.1Transposon Ty3-I Gag-Pol polyprotein	2.000000
19:5750000-5800000	19	5750000	5800000	34	0.320409	0.320409	Vitvi19g00416	5763701	5778597	+	0	Vitvi19g00416	XP_003634700.1PREDICTED: uncharacterized protein LOC100241773	
19:5750000-5800000	19	5750000	5800000	34	0.320409	0.320409	Vitvi19g01986	5794398	5795496	+	0	Vitvi19g01986	XP_034677986.1uncharacterized protein LOC117908488	2.000000
3:6250000-6300000	3	6250000	6300000	48	0.305359	0.305359	Vitvi03g04192	6269363	6269659	-	0	Vitvi03g04192	RVW49657.1hypothetical protein CK203_076747	2.000000
3:6250000-6300000	3	6250000	6300000	48	0.305359	0.305359	Vitvi03g01584	6295821	6296666	-	0	Vitvi03g01584	RVW61401.1hypothetical protein CK203_032056	
3:6750000-6900000	3	6750000	6900000	77	0.275692	0.304369	Vitvi03g00595	6748515	6778900	-	0	Vitvi03g00595	XP_010647943.1PREDICTED: uncharacterized protein LOC100267918	1.000000
3:6750000-6900000	3	6750000	6900000	77	0.275692	0.304369	Vitvi03g04203	6781575	6781886	-	0	Vitvi03g04203	RVX15110.1hypothetical protein CK203_007883	
3:6750000-6900000	3	6750000	6900000	77	0.275692	0.304369	Vitvi03g00597	6799796	6802874	+	0	Vitvi03g00597	XP_002271922.1PREDICTED: uncharacterized protein LOC100257657	
3:6750000-6900000	3	6750000	6900000	77	0.275692	0.304369	Vitvi03g04204	6883778	6884530	-	0	Vitvi03g04204	RVW61427.1hypothetical protein CK203_031980	
3:6750000-6900000	3	6750000	6900000	77	0.275692	0.304369	Vitvi03g01603	6895751	6896174	-	0	Vitvi03g01603	XP_002262836.1PREDICTED: uncharacterized protein LOC100265247 isoform X4	
