region_id	chrom	region_start	region_end	n_snps	mean_window_fst	max_window_fst	gene_id	gene_start	gene_end	strand	distance_to_region_bp	gene_name	description	go_terms
14:7100000-7500000	14	7100000	7500000	267	0.200316	0.268384	Vitvi14g00473	7111068	7117490	+	0	Vitvi14g00473	XP_002279520.1 light-inducible protein CPRF2	11
14:7100000-7500000	14	7100000	7500000	267	0.200316	0.268384	Vitvi14g00475	7116980	7118395	-	0	Vitvi14g00475	XP_002274803.1 pentatricopeptide repeat-containing protein At3g18970	1
14:7100000-7500000	14	7100000	7500000	267	0.200316	0.268384	Vitvi14g00476	7127880	7135300	+	0	Vitvi14g00476	XP_002279607.1 sec-independent protein translocase protein TATA, chloroplastic	2
14:7100000-7500000	14	7100000	7500000	267	0.200316	0.268384	Vitvi14g00477	7138931	7144682	+	0	Vitvi14g00477	XP_010659880.1 transcription factor UNE12	5
14:7100000-7500000	14	7100000	7500000	267	0.200316	0.268384	Vitvi14g00478	7153566	7160962	+	0	Vitvi14g00478	RVW38142.1Centromere protein V	2
14:7100000-7500000	14	7100000	7500000	267	0.200316	0.268384	Vitvi14g00479	7166219	7167979	-	0	Vitvi14g00479	RVW38136.1Pentatricopeptide repeat-containing protein, mitochondrial	1
14:7100000-7500000	14	7100000	7500000	267	0.200316	0.268384	Vitvi14g04190	7174310	7175521	-	0	Vitvi14g04190	RVW40735.1hypothetical protein CK203_099847	
14:7100000-7500000	14	7100000	7500000	267	0.200316	0.268384	Vitvi14g04191	7175615	7176442	-	0	Vitvi14g04191	CAN69053.1hypothetical protein VITISV_022963	
14:7100000-7500000	14	7100000	7500000	267	0.200316	0.268384	Vitvi14g00480	7177366	7179108	-	0	Vitvi14g00480	RVW38144.1putative pentatricopeptide repeat-containing protein, mitochondrial	1
14:7100000-7500000	14	7100000	7500000	267	0.200316	0.268384	Vitvi14g02666	7181122	7184514	+	0	Vitvi14g02666	---NA---	
14:7100000-7500000	14	7100000	7500000	267	0.200316	0.268384	Vitvi14g00481	7185145	7187109	+	0	Vitvi14g00481	XP_002275085.1 pentatricopeptide repeat-containing protein At3g04750, mitochondrial	1
14:7100000-7500000	14	7100000	7500000	267	0.200316	0.268384	Vitvi14g00482	7189375	7222154	-	0	Vitvi14g00482	XP_010659873.1 mediator of RNA polymerase II transcription subunit 14	3
14:7100000-7500000	14	7100000	7500000	267	0.200316	0.268384	Vitvi14g00483	7240046	7241555	-	0	Vitvi14g00483	XP_002279955.1 auxin-induced protein 22D	4
14:7100000-7500000	14	7100000	7500000	267	0.200316	0.268384	Vitvi14g00484	7267659	7270017	+	0	Vitvi14g00484	NP_001268036.1indole-3-acetic acid-induced protein 16	4
