region_id	chrom	region_start	region_end	n_snps	mean_window_fst	max_window_fst	gene_id	gene_start	gene_end	strand	distance_to_region_bp	gene_name	description	go_terms
18:26750000-26800000	18	26750000	26800000	27	0.415883	0.415883	Vitvi18g04498	26801560	26801826	-	1560	Vitvi18g04498	RVW75058.1Retrovirus-related Pol polyprotein from transposon RE2	1
8:10800000-10850000	8	10800000	10850000	27	0.403490	0.403490	Vitvi08g00862	10800753	10810537	+	0	Vitvi08g00862	XP_010653333.1PREDICTED: uncharacterized protein LOC100253448	1
8:10800000-10850000	8	10800000	10850000	27	0.403490	0.403490	Vitvi08g00863	10813368	10817055	-	0	Vitvi08g00863	XP_002267737.3 probable LRR receptor-like serine/threonine-protein kinase IRK	5
8:10800000-10850000	8	10800000	10850000	27	0.403490	0.403490	Vitvi08g00864	10822656	10831678	+	0	Vitvi08g00864	XP_002271868.1 protein FATTY ACID EXPORT 3, chloroplastic	7
8:10800000-10850000	8	10800000	10850000	27	0.403490	0.403490	Vitvi08g00865	10832331	10839805	-	0	Vitvi08g00865	XP_002267833.2 vacuolar-sorting receptor 1	10
8:10800000-10850000	8	10800000	10850000	27	0.403490	0.403490	Vitvi08g00866	10842596	10847738	-	0	Vitvi08g00866	XP_002272360.1 transmembrane protein 87A	2
8:10800000-10850000	8	10800000	10850000	27	0.403490	0.403490	Vitvi08g00867	10850066	10850862	+	66	Vitvi08g00867	RVX00643.1hypothetical protein CK203_030359	1
8:10800000-10850000	8	10800000	10850000	27	0.403490	0.403490	Vitvi08g04136	10798994	10799326	-	674	Vitvi08g04136	KJB29894.1hypothetical protein B456_005G122700	
8:10800000-10850000	8	10800000	10850000	27	0.403490	0.403490	Vitvi08g00868	10857477	10859757	-	7477	Vitvi08g00868	CBI18028.3unnamed protein product, partial	3
8:10800000-10850000	8	10800000	10850000	27	0.403490	0.403490	Vitvi08g00861	10789310	10790947	-	9053	Vitvi08g00861	RVX00642.1Pentatricopeptide repeat-containing protein, mitochondrial	1
8:12550000-12750000	8	12550000	12750000	176	0.334859	0.401638	Vitvi08g00998	12557186	12558619	+	0	Vitvi08g00998	XP_002282259.1 transcription initiation factor TFIID subunit 8	4
