region_id	chrom	region_start	region_end	n_snps	mean_window_fst	max_window_fst	gene_id	gene_start	gene_end	strand	distance_to_region_bp	gene_name	description	go_terms
18:26750000-26800000	18	26750000	26800000	27	0.415883	0.415883	Vitvi18g04498	26801560	26801826	-	1560	Vitvi18g04498	RVW75058.1Retrovirus-related Pol polyprotein from transposon RE2	1.000000
8:10800000-10850000	8	10800000	10850000	27	0.403490	0.403490	Vitvi08g00862	10800753	10810537	+	0	Vitvi08g00862	XP_010653333.1PREDICTED: uncharacterized protein LOC100253448	1.000000
8:10800000-10850000	8	10800000	10850000	27	0.403490	0.403490	Vitvi08g00867	10850066	10850862	+	66	Vitvi08g00867	RVX00643.1hypothetical protein CK203_030359	1.000000
8:10800000-10850000	8	10800000	10850000	27	0.403490	0.403490	Vitvi08g04136	10798994	10799326	-	674	Vitvi08g04136	KJB29894.1hypothetical protein B456_005G122700	
8:12550000-12750000	8	12550000	12750000	176	0.334859	0.401638	Vitvi08g02134	12567512	12567883	-	0	Vitvi08g02134	XP_010653715.1PREDICTED: uncharacterized protein LOC104880086	1.000000
8:12550000-12750000	8	12550000	12750000	176	0.334859	0.401638	Vitvi08g02137	12672635	12672814	-	0	Vitvi08g02137	XP_010653604.1PREDICTED: uncharacterized protein LOC104880065	4.000000
8:12550000-12750000	8	12550000	12750000	176	0.334859	0.401638	Vitvi08g00996	12543867	12548063	-	1937	Vitvi08g00996	XP_002282270.1PREDICTED: uncharacterized protein LOC100249954	
3:1850000-1950000	3	1850000	1950000	59	0.358451	0.387685	Vitvi03g01401	1851368	1853483	-	0	Vitvi03g01401	RVW38582.1hypothetical protein CK203_075584	1.000000
3:1850000-1950000	3	1850000	1950000	59	0.358451	0.387685	Vitvi03g00158	1860022	1860680	+	0	Vitvi03g00158	XP_003631541.1PREDICTED: uncharacterized protein LOC100246973	
14:8800000-8850000	14	8800000	8850000	24	0.384688	0.384688	Vitvi14g02699	8814204	8815473	+	0	Vitvi14g02699	XP_010660111.1PREDICTED: uncharacterized protein LOC100246190	
