region_id	chrom	region_start	region_end	n_snps	mean_window_fst	max_window_fst	gene_id	gene_start	gene_end	strand	distance_to_region_bp	gene_name	description	go_terms
1:12900000-12950000	1	12900000	12950000	61	0.271055	0.271055	Vitvi01g01048	12905846	12906870	-	0	Vitvi01g01048	XP_002271277.1PREDICTED: uncharacterized protein LOC100241338	1.000000
17:7150000-7350000	17	7150000	7350000	166	0.219530	0.255508	Vitvi17g00579	7345542	7356006	-	0	Vitvi17g00579	XP_002275470.1PREDICTED: uncharacterized protein LOC100250065 isoform X1	1.000000
9:2300000-2350000	9	2300000	2350000	56	0.248269	0.248269	Vitvi09g00216	2348042	2354024	+	0	Vitvi09g00216	XP_010654562.1PREDICTED: uncharacterized protein At1g51745 isoform X2	
2:4350000-4700000	2	4350000	4700000	195	0.209756	0.243260	Vitvi02g04123	4389575	4390442	+	0	Vitvi02g04123	CAN62363.1hypothetical protein VITISV_031923	3.000000
2:4350000-4700000	2	4350000	4700000	195	0.209756	0.243260	Vitvi02g04124	4392934	4393449	+	0	Vitvi02g04124	CAN62362.1hypothetical protein VITISV_031922	1.000000
2:4350000-4700000	2	4350000	4700000	195	0.209756	0.243260	Vitvi02g00472	4413612	4415362	-	0	Vitvi02g00472	XP_002266596.1PREDICTED: uncharacterized protein At4g22758	
2:4350000-4700000	2	4350000	4700000	195	0.209756	0.243260	Vitvi02g04125	4415735	4416161	+	0	Vitvi02g04125	CAN64317.1hypothetical protein VITISV_027916	
2:4350000-4700000	2	4350000	4700000	195	0.209756	0.243260	Vitvi02g01423	4451171	4452577	+	0	Vitvi02g01423	XP_010662122.1PREDICTED: uncharacterized protein At4g22758	
2:4350000-4700000	2	4350000	4700000	195	0.209756	0.243260	Vitvi02g00476	4478959	4483643	-	0	Vitvi02g00476	XP_010662148.1PREDICTED: uncharacterized protein LOC100253287 isoform X3	
2:4350000-4700000	2	4350000	4700000	195	0.209756	0.243260	Vitvi02g04128	4499805	4500122	-	0	Vitvi02g04128	CAN82556.1hypothetical protein VITISV_040049	
2:4350000-4700000	2	4350000	4700000	195	0.209756	0.243260	Vitvi02g00481	4526128	4527046	-	0	Vitvi02g00481	XP_002266637.2PREDICTED: uncharacterized protein LOC100249883	
2:4350000-4700000	2	4350000	4700000	195	0.209756	0.243260	Vitvi02g04130	4564346	4565449	+	0	Vitvi02g04130	XP_034676966.1uncharacterized protein LOC117907516	
2:4350000-4700000	2	4350000	4700000	195	0.209756	0.243260	Vitvi02g04134	4593989	4595036	-	0	Vitvi02g04134	RVX15426.1hypothetical protein CK203_008991	1.000000
2:4350000-4700000	2	4350000	4700000	195	0.209756	0.243260	Vitvi02g04135	4595193	4595804	-	0	Vitvi02g04135	RVX15427.1hypothetical protein CK203_008992	
2:4350000-4700000	2	4350000	4700000	195	0.209756	0.243260	Vitvi02g00496	4638084	4639334	+	0	Vitvi02g00496	RVX15567.1hypothetical protein CK203_009014	1.000000
2:4350000-4700000	2	4350000	4700000	195	0.209756	0.243260	Vitvi02g04140	4657505	4658299	+	0	Vitvi02g04140	RVX15571.1hypothetical protein CK203_009010	1.000000
2:4350000-4700000	2	4350000	4700000	195	0.209756	0.243260	Vitvi02g00498	4697119	4702653	+	0	Vitvi02g00498	XP_002264554.1PREDICTED: uncharacterized protein LOC100245386	2.000000
4:2100000-2150000	4	2100000	2150000	24	0.240564	0.240564	Vitvi04g00221	2100498	2108313	-	0	Vitvi04g00221	XP_002280681.2 uncharacterized aarF domain-containing protein kinase At4g31390, chloroplastic	3.000000
4:2100000-2150000	4	2100000	2150000	24	0.240564	0.240564	Vitvi04g04057	2147238	2148794	+	0	Vitvi04g04057	RVW52305.1hypothetical protein CK203_093406	1.000000
4:2100000-2150000	4	2100000	2150000	24	0.240564	0.240564	Vitvi04g00220	2094805	2096457	-	3543	Vitvi04g00220	XP_002282756.1PREDICTED: uncharacterized protein LOC100250872	
17:13000000-13050000	17	13000000	13050000	50	0.233271	0.233271	Vitvi17g04282	13011532	13013166	+	0	Vitvi17g04282	CAN67933.1hypothetical protein VITISV_006532	8.000000
3:950000-1000000	3	950000	1000000	57	0.229708	0.229708	Vitvi03g04027	951180	951458	-	0	Vitvi03g04027	RVW36532.1hypothetical protein CK203_072772	4.000000
3:950000-1000000	3	950000	1000000	57	0.229708	0.229708	Vitvi03g04030	977087	977467	+	0	Vitvi03g04030	CAN65267.1hypothetical protein VITISV_040134	
14:1100000-1250000	14	1100000	1250000	142	0.210377	0.229580	Vitvi14g00143	1145744	1152650	+	0	Vitvi14g00143	XP_002278737.2PREDICTED: uncharacterized protein LOC100263144 isoform X1	2.000000
14:1100000-1250000	14	1100000	1250000	142	0.210377	0.229580	Vitvi14g02487	1165452	1165964	-	0	Vitvi14g02487	XP_002283241.1PREDICTED: uncharacterized protein LOC100263080	
14:1100000-1250000	14	1100000	1250000	142	0.210377	0.229580	Vitvi14g04040	1166576	1167097	-	0	Vitvi14g04040	RVW97852.1hypothetical protein CK203_021202	
14:1100000-1250000	14	1100000	1250000	142	0.210377	0.229580	Vitvi14g04041	1168565	1168831	+	0	Vitvi14g04041	CAN61930.1hypothetical protein VITISV_029934	
14:1100000-1250000	14	1100000	1250000	142	0.210377	0.229580	Vitvi14g00146	1182518	1182994	-	0	Vitvi14g00146	XP_002283277.1PREDICTED: uncharacterized protein At5g01610	
14:1100000-1250000	14	1100000	1250000	142	0.210377	0.229580	Vitvi14g02489	1187485	1187976	-	0	Vitvi14g02489	XP_010659664.1PREDICTED: uncharacterized protein LOC100244347	
14:1100000-1250000	14	1100000	1250000	142	0.210377	0.229580	Vitvi14g02490	1192152	1192676	-	0	Vitvi14g02490	RVW60363.1hypothetical protein CK203_089864	1.000000
14:1100000-1250000	14	1100000	1250000	142	0.210377	0.229580	Vitvi14g02491	1197191	1197721	-	0	Vitvi14g02491	XP_019080288.1PREDICTED: uncharacterized protein LOC109123816	
14:1100000-1250000	14	1100000	1250000	142	0.210377	0.229580	Vitvi14g04042	1202781	1203296	-	0	Vitvi14g04042	XP_019080459.1PREDICTED: uncharacterized protein LOC100261473	
14:1100000-1250000	14	1100000	1250000	142	0.210377	0.229580	Vitvi14g04043	1208699	1209114	-	0	Vitvi14g04043	XP_010659663.1PREDICTED: uncharacterized protein LOC100256166	
14:1100000-1250000	14	1100000	1250000	142	0.210377	0.229580	Vitvi14g02493	1217341	1217841	-	0	Vitvi14g02493	XP_002283314.1PREDICTED: uncharacterized protein LOC100252793	
14:1100000-1250000	14	1100000	1250000	142	0.210377	0.229580	Vitvi14g02494	1226269	1226760	-	0	Vitvi14g02494	XP_010659661.1PREDICTED: uncharacterized protein LOC100251008	
14:1100000-1250000	14	1100000	1250000	142	0.210377	0.229580	Vitvi14g02495	1229714	1230223	-	0	Vitvi14g02495	XP_002283330.1PREDICTED: uncharacterized protein LOC100247685	
14:1100000-1250000	14	1100000	1250000	142	0.210377	0.229580	Vitvi14g04044	1232017	1233201	-	0	Vitvi14g04044	CAN77269.1hypothetical protein VITISV_022053	1.000000
