region_id	chrom	region_start	region_end	n_snps	mean_window_fst	max_window_fst	gene_id	gene_start	gene_end	strand	distance_to_region_bp	gene_name	description	go_terms
7:21850000-21900000	7	21850000	21900000	49	0.228212	0.228212	Vitvi07g04577	21887408	21893526	-	0	Vitvi07g04577	XP_034691266.1uncharacterized protein LOC117918609 isoform X2	
7:21850000-21900000	7	21850000	21900000	49	0.228212	0.228212	Vitvi07g04578	21894034	21901487	-	0	Vitvi07g04578	XP_034691271.1uncharacterized protein LOC117918610	
13:1200000-1350000	13	1200000	1350000	115	0.200844	0.217125	Vitvi13g00129	1217118	1218385	-	0	Vitvi13g00129	XP_003633434.1PREDICTED: uncharacterized protein LOC100253518	1.000000
13:1200000-1350000	13	1200000	1350000	115	0.200844	0.217125	Vitvi13g00132	1239542	1241209	-	0	Vitvi13g00132	XP_002274097.2PREDICTED: uncharacterized protein LOC100248412	
13:1200000-1350000	13	1200000	1350000	115	0.200844	0.217125	Vitvi13g00141	1286763	1290033	+	0	Vitvi13g00141	XP_002274265.1PREDICTED: uncharacterized protein LOC100250135	
13:1200000-1350000	13	1200000	1350000	115	0.200844	0.217125	Vitvi13g01903	1316166	1316786	-	0	Vitvi13g01903	XP_002274295.1PREDICTED: uncharacterized protein LOC100245000	
3:6500000-6550000	3	6500000	6550000	36	0.207777	0.207777	Vitvi03g00580	6543941	6545521	+	0	Vitvi03g00580	XP_002270096.1PREDICTED: uncharacterized protein LOC100243866	
9:14100000-14200000	9	14100000	14200000	131	0.188416	0.207032	Vitvi09g01006	14074934	14123927	+	0	Vitvi09g01006	XP_010655027.1PREDICTED: uncharacterized protein LOC100255062	
9:14100000-14200000	9	14100000	14200000	131	0.188416	0.207032	Vitvi09g01808	14134187	14147554	+	0	Vitvi09g01808	XP_002274382.1PREDICTED: uncharacterized protein LOC100263614 isoform X1	7.000000
9:14100000-14200000	9	14100000	14200000	131	0.188416	0.207032	Vitvi09g04379	14176650	14176928	+	0	Vitvi09g04379	RVW94146.1hypothetical protein CK203_038208	
