region_id	chrom	region_start	region_end	n_snps	mean_window_fst	max_window_fst	gene_id	gene_start	gene_end	strand	distance_to_region_bp	gene_name	description	go_terms
9:14150000-14300000	9	14150000	14300000	332	0.235565	0.262233	Vitvi09g04379	14176650	14176928	+	0	Vitvi09g04379	RVW94146.1hypothetical protein CK203_038208	
9:14150000-14300000	9	14150000	14300000	332	0.235565	0.262233	Vitvi09g04380	14188784	14189458	+	0	Vitvi09g04380	RVW51766.1hypothetical protein CK203_066842	
9:14150000-14300000	9	14150000	14300000	332	0.235565	0.262233	Vitvi09g01808	14134187	14147554	+	2446	Vitvi09g01808	XP_002274382.1PREDICTED: uncharacterized protein LOC100263614 isoform X1	7.000000
17:6500000-6850000	17	6500000	6850000	137	0.227767	0.261153	Vitvi17g01446	6493377	6504379	-	0	Vitvi17g01446	XP_002266495.2PREDICTED: uncharacterized protein LOC100260307	
17:6500000-6850000	17	6500000	6850000	137	0.227767	0.261153	Vitvi17g00497	6527810	6528733	-	0	Vitvi17g00497	XP_002265727.3PREDICTED: uncharacterized protein LOC100243309	1.000000
17:6500000-6850000	17	6500000	6850000	137	0.227767	0.261153	Vitvi17g01447	6535654	6539165	+	0	Vitvi17g01447	XP_010663445.1PREDICTED: uncharacterized protein LOC100265622	
17:6500000-6850000	17	6500000	6850000	137	0.227767	0.261153	Vitvi17g00509	6620978	6631171	-	0	Vitvi17g00509	XP_010663430.1PREDICTED: uncharacterized protein LOC100258784	1.000000
6:20450000-20550000	6	20450000	20550000	156	0.222707	0.244446	Vitvi06g04443	20489150	20489368	-	0	Vitvi06g04443	CAN62126.1hypothetical protein VITISV_037579	5.000000
6:20450000-20550000	6	20450000	20550000	156	0.222707	0.244446	Vitvi06g01962	20492250	20499693	+	0	Vitvi06g01962	XP_002275041.1PREDICTED: uncharacterized protein At2g27730, mitochondrial	1.000000
6:20450000-20550000	6	20450000	20550000	156	0.222707	0.244446	Vitvi06g01505	20536700	20537254	-	0	Vitvi06g01505	XP_002274717.1PREDICTED: uncharacterized protein LOC100265664	1.000000
6:20450000-20550000	6	20450000	20550000	156	0.222707	0.244446	Vitvi06g01963	20556476	20558284	-	6476	Vitvi06g01963	XP_010651875.1PREDICTED: uncharacterized protein LOC104879734	1.000000
18:22550000-22750000	18	22550000	22750000	253	0.224717	0.241150	Vitvi18g04424	22604533	22605543	+	0	Vitvi18g04424	RVW48828.1hypothetical protein CK203_103544	1.000000
18:22550000-22750000	18	22550000	22750000	253	0.224717	0.241150	Vitvi18g02971	22611947	22621350	+	0	Vitvi18g02971	XP_010665147.1PREDICTED: uncharacterized protein LOC104882684 isoform X4	
18:22550000-22750000	18	22550000	22750000	253	0.224717	0.241150	Vitvi18g02975	22653503	22666504	-	0	Vitvi18g02975	XP_002266417.1PREDICTED: uncharacterized protein LOC100267465	10.000000
18:22550000-22750000	18	22550000	22750000	253	0.224717	0.241150	Vitvi18g01637	22748383	22749564	+	0	Vitvi18g01637	XP_010665134.1PREDICTED: uncharacterized protein LOC104882680	1.000000
18:22550000-22750000	18	22550000	22750000	253	0.224717	0.241150	Vitvi18g02979	22755029	22756085	+	5029	Vitvi18g02979	XP_010665133.1PREDICTED: uncharacterized protein LOC104882679	
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g01827	27706569	27708102	+	0	Vitvi13g01827	XP_019080085.1PREDICTED: uncharacterized protein LOC100251191	
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g04765	27712534	27713118	-	0	Vitvi13g04765	RVW93621.1hypothetical protein CK203_028860	
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g04766	27713873	27714313	-	0	Vitvi13g04766	RVW93622.1hypothetical protein CK203_028861	
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g04767	27714948	27715659	-	0	Vitvi13g04767	RVW93619.1hypothetical protein CK203_028862	
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g01825	27716978	27718060	+	0	Vitvi13g01825	XP_002268131.1PREDICTED: uncharacterized protein LOC100261320	1.000000
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g01818	27766022	27766993	+	0	Vitvi13g01818	XP_002268287.2PREDICTED: uncharacterized protein LOC100240833	
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g02569	27769820	27772622	+	0	Vitvi13g02569	XP_002268328.1PREDICTED: uncharacterized protein LOC100263099	2.000000
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g04769	27795991	27796924	-	0	Vitvi13g04769	CAN75879.1hypothetical protein VITISV_024452	3.000000
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g04770	27804445	27807976	-	0	Vitvi13g04770	CAN75878.1hypothetical protein VITISV_024451	
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g04772	27811342	27812462	-	0	Vitvi13g04772	CAN60967.1hypothetical protein VITISV_017509	1.000000
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g04774	27824875	27828966	-	0	Vitvi13g04774	RVW93547.1hypothetical protein CK203_028882	
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g02560	27831385	27831909	-	0	Vitvi13g02560	RVW93548.1hypothetical protein CK203_028883	
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g04775	27832397	27836806	+	0	Vitvi13g04775	RVW97193.1Transposon Tf2-12 polyprotein	8.000000
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g04776	27837204	27841612	+	0	Vitvi13g04776	RVW97193.1Transposon Tf2-12 polyprotein	8.000000
13:27700000-27850000	13	27700000	27850000	64	0.231376	0.239921	Vitvi13g04777	27846741	27849577	-	0	Vitvi13g04777	CAN60967.1hypothetical protein VITISV_017509	2.000000
2:5150000-5300000	2	5150000	5300000	137	0.227319	0.238613	Vitvi02g00534	5149311	5154315	+	0	Vitvi02g00534	XP_002271142.1PREDICTED: uncharacterized protein LOC100255799 isoform X1	2.000000
2:5150000-5300000	2	5150000	5300000	137	0.227319	0.238613	Vitvi02g01443	5156093	5157690	-	0	Vitvi02g01443	RVW50545.1hypothetical protein CK203_074481	
2:5150000-5300000	2	5150000	5300000	137	0.227319	0.238613	Vitvi02g04160	5194328	5194525	+	0	Vitvi02g04160	CAN71258.1hypothetical protein VITISV_043225	
2:5150000-5300000	2	5150000	5300000	137	0.227319	0.238613	Vitvi02g00538	5203867	5206131	-	0	Vitvi02g00538	XP_002266701.1PREDICTED: uncharacterized protein LOC100262529	1.000000
2:5150000-5300000	2	5150000	5300000	137	0.227319	0.238613	Vitvi02g04161	5208717	5209263	-	0	Vitvi02g04161	CAN71256.1hypothetical protein VITISV_043223	
2:5150000-5300000	2	5150000	5300000	137	0.227319	0.238613	Vitvi02g01445	5209285	5209626	-	0	Vitvi02g01445	XP_034707091.1LOW QUALITY PROTEIN: uncharacterized protein LOC117930556	
2:5150000-5300000	2	5150000	5300000	137	0.227319	0.238613	Vitvi02g00540	5209694	5210635	-	0	Vitvi02g00540	CAN71255.1hypothetical protein VITISV_043222	1.000000
